,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
158,Pergularia daemia ,Asclepiadaceae,"Atufa, Oju-Kokarun,Utaezi",Pergularia,"Leaf, twigs, root bark, stem","Rheumatism, intestinal worms, piles, catarrhal diseases,craw-craw,coughs,emmenagogue,smallpox,mental disorder,skin diseases,diarrhoea, eye infection."
159,Jateorhiza macrantha,Menispermaceae,Atutu,"Jateorhiza,calumba","Leaves, roots,stem","Antidote to snake bite, ulcers, wounds, cuts, tonic,aphrodisiac"
160,Jateorhiza Palmate,Menispermaceae,Atutu,,"Root bark, leaves, whole plant","Hypertension, dysentery, anthelmintic, tonic, fever, stomachic"
161,Gongronema latifolium  ,Asclepiadaceae,"Aunjeadiye, Itaji,Utazi",Amaranth globe,Stem,"Sore gums,colic, dyspepsia, anthelmintic."
162,Dissotis rotundifolia,Melastomataceae,"Awede,Ajagunmorasin","Chickweed,starwort,star weed,",Whole plant,"Venereal diseases, coughs,antimicrobials,conjunctivities,haemostatic,weight control,diuretic,asthma,ulcer."
163,Spilanthes filicaulis,Compositae,"Awerepe,awerepepe",Brazil cress,"Whole plant,leaves","Emetic, analgesic"
164,Baphia pubescens  ,Papilionaceae,"Awewi, Urohun,Maajigii",Benin Camwood,Stem bark,"Urinary tract disorders,emetic, antimicrobial."
165,Dialium guineense,Leguminosae,"Awin,Icheku,Tsamiyar kurmi","Black tamarind,tumble tree","Leaves, fruit, bark, twigs","Fever, coughs, bronchitis, toothache,astringent, diuretic"
166,Petiveria alliacea,Phytolaccaceae,Awogba,Anamu,"Whole plant,leaves,root","All purpose herb for cancer,antimicrobial,diabetes,stroke,diuretic,sedative,abortifacient,analgesic,anthelmintics,cough,insecticide,snake repellant."
167,Croton penduliflorus,Euphorbiaceae,Aworoso,"Croton,Turk's cap","Seeds,whole plant.","Constipation,general debility,diuretics,arthritis,purgative,anti-tumour"
168,Phaseolus vulgaris  ,Leguminosae,"Awuje, Eree,Wake",Kidney bean,Seeds,"Antifungal,skin diseases"
169,Alstonia boonei ,Apocynaceae,"Awun, ahun,eghu,akpi","Stool wood,pattern wood","Root, bark, leaves","Breast development, filaria worms,anthelmintics, antidote, malaria fever, yellow fever,anti-periodic"
170,Tetracarpidium conophorum,Euphorbiaceae,"Awusa,asala","Conofor,African walnut","Leaves,fruit,bark","Masticatory,giddiness,thrush,anthelmintics,toothache,syphilis,dysentery,antidote to snake bite."
171,Pericopsis laxiflora,Leguminosae,"Ayan, sedu, egbin,Bafini",Pericopsis,Bark,"Oedema,antitumour."
172,Prosopis africana,Leguminosae,"Ayan,kiriya,Kiriya,Ubwa",,Leaves,Male sterility
173,Luffa cylindrica,Cucurbitaceae,"Aya-oyinbo,kankan oyinbo ,kankan ayaba","Smooth loafah,vegetable sponge",Roots,"Purgative,tonic"
174,Crossopteryx febrifuga  ,Rubiaceae,Ayeye,"Sandcrown berry,crystal bark","Root, stem bark","Fever, gastrointestinal&respiratory disorders."
175,Anogeissus leiocarpus,Combretaceae,"Ayin,marike,atara",Axlewood,"Bark,leaves,seds","Antipyretic,taeniacide,skin diseases"
176,Albizia ferruginea,Leguminosae,"Ayinre ogo,ngu,kurmii",False thorn albizia ,"Root, stem bark,leaves","Dysentery, constipation,fish poison"
177,Albizia zygia,Leguminosae,"Ayinre-weere,kurmii","Okuro,atanza,siris",Bark,"Arthritis,sprain"
178,Allium sativum ,Liliaceae,"Ayo, ayuu",Garlic,Bulb,"Fever, coughs, asthma, dilated bronchi.,flatulence,anthelmintic,ringworm,antibiotic,diuretic,emmenagogue,antimicrobials,blood tonic, Malaria."
179,Caesalpinia bonduc,Leguminosae,Ayoo,"Bonduc nut,physic nut, yellow nicker","Roots,leaves,seeds","Fever,anthelmintics,respiratory diseases"
180,Entada africana,Leguminosae,"Ayunre-banabana,Tawatsa",Entada,"Bark, leaves, root, seeds","Astringent,antimimicrobials, antipyretic, abortifacient,malaria."
181,Acacia nilotica,Mimosaceae,"Baani,booni,gabaruwa","Acacia,Egyptian mimosa","Fruits,bark,exudate","Skin diseases,fungal infections,insomnia,emollient."
182,Cucumis melo,Cucurbitaceae,"Baara-ekate,Gurji","Melon,musk melon","Leaves, root","Fungal diseases, emetic,purgative,gonorrhoea."
183,Gladiolus psittacinus,Iridaceae,"Baka,isu baka","Sword lily, corn flag",Bulb,"Antigonococcal,dysentery,diarrhoea,mental disorder,constipation,mystic use."
184,Albizia adianthifolia  ,Leguminosae,"Banabana Ayinreta,igbabo,afema,avu,tsintsiyar,kurmii",Flatcrown albizia,Bark,"Gonorrhoea,night blindness,piles,anthelmintics,cough"
185,Guiera senegalensis,Combretaceae,"Barbatta,olofun,saabara",,Leaves,"Skin infection, fever, diarrhoea, dysentery, syphilis, tonic, increase lactation, prevention of leprosy."
186,Swartzia madagascariensis,Leguminosae,Bayama,,Seeds,"Diuretic, laxative"
187,Eichhornia crassipes,Pontederiaceae,"Bebelu oju omi,mako,gbeborun.",Water hyacinth,Whole plant,"Skin care,fresh juice for wounds,styptic,goitre,protecting feet as foot wears"
188,Sesamum indicum,Pedaliaceae,"Beni-seed, eluru,ekuku,Ulogbodo,Rafiiidin -bareewa","Ginger fly, sesame, Beni-seed.","Leaves,seeds,roots","Migraine,hypertension, ulcers, piles, purgative, constipation, hair shampoo, chicken pox, respiratory complaints, dysentery,demulcent,abortifacient."
189,Artocarpus altilis,Moraceae,"Bere fruit, Berefurutu, Jaloke.",Breadfruit,"Roots,fruits,wood","Fevers,astringent,sedative"
190,Dyschoriste perrottetii,Acanthaceae,Bidi-Diyan,,Seed,"Inflammation, Eye irrigation."
191,Jussiaea linifoliio,Onagraceae,Bini-sensen,,Leaves,Malaria.
192,Rothmannia longiflora  ,Rubiaceae,"Biye, buje-dudu,Katambiri",Rothmannia,"Leaves, roots, bark","Fever, filariasis,analgesic,emetic,analgesic"
193,Vernonia cinerea,Compositae,"Bojure, Ewe-Oghan.",Purple fleabane,"Leaves,seeds","Anthelmintics,skin diseases,dysentery,fever,cough,emollient"
194,Clappertonia ficifolia,Malvaceae,Bolobolo,Bolobolo,"Leaves,roots",Cough
195,Senecio biafrae,Compositae,"Bologi, worowo, rorowo",English Spinach,"Leaves, sap","Wound, cough, heart-troubles, tonic, rheumatic, oedemas, allergies."
196,Calotropis procera  ,Asclepiadaceae,"Bomubomu,Tumfatiya","Giant milk weed,sodom apple","Leaves, root, bark,latex.","Diarrhoea, dysentery, elephantiasis, leprosy,chronic eczema,ringworm,cough,diaphoretic,emetic,asthma,abortifacient,convulsion,antipyretic."
197,Jatropha gossypiifolia,Euphorbiaceae,"Botuje pupa,Binidi zugu,Ake mbogho",Wild Cassava,Stem latex,"Ringworm, ascaris, anti-tumour,malaria,dysentery,dysmenorrhoea."
198,Jatropha curcas,Euphorbiaceae,"Botuje, lapalapa,Zugu,Olulu -idu",Physic nut,"Seed, leaves, stem, roots,sap","Ringworm, eczema,scabies, fever, guinea worms, herpes,rectal enema,black tongue,whitlow,impotence,irregular menses,convulsion,smallpox"
199,Balanites aegyptiaca,Zygophyllaceae,"Budare, aduuwa","Zachun oil tree,Desert date","Roots, fruits,seeds,bark.","Anthelmintics, skin diseases,antipyretic,emetic"
200,Rothmannia whitfieldii  ,Rubiaceae,"Buje nla,Uli oba",Rothmannia,Fruits,"Filariasis, dysentery."
201,Clerodendrum volubile,Verbenaceae,Dagba,,"Leaves, roots","Venereal diseases, astringent, topical application, vermifuge."
202,Alternanthera repens,Amaranthaceae,Dagunro,Joyweed,Whole plant,"Dysentery, antimicrobials,dysmenorrhea,filariasis,fracture,joint pains"
203,Tribulus terrestris ,Zygophyllaceae,"Dagunro,tsaida","Devil’s thorn,puncture vine","Whole plant, seeds","Urinary disorders,diuretic, spermatorrhoea, impotence, gonorrhoea,aphrodisiac."
204,Nelsonia compestria,Acanthaceae,Damdun-Makiyaya,,"Leaves, juice, twigs","Yellow fever, eye inflammation, diarrhoea, schistosomiasis."
205,Morelia senegalensis ,Rubiaceae,"Dandojee,Akule,Inuwar bauna",Morelia,Stem,"Fever, general debility,fish poison."
206,Acanthospermum hispidum  ,Compositae,"Dangunro-gogoro ,kaashinyaawo",Starburr,"Leaves,whole plant","Yellow Fever ,tuberculosis,stomach disorder,cough,purgative,rheumatism,migraine"
207,Schlerocarya birrea,Aracandiaceae,Danya,,Bark,"Astringent, malaria, skin diseases."
208,Centaurea perrottetii,Compositae,Danyi,Star thistle,"Whole plant,leaves","Skin infections,fever,malaria,syphilis,ulcer"
209,Phytolacca dodecandra  ,Phytolaccaceae,"Dere, Osun-erin.","Elephant tree,allspice,pokeberry,garget,scoke","Young leaves,twig","Bilharzia,purgative,emetic,vermifuge"
210,Vitex cryosocarpa,Verbenaceae,Dinyar raafi,,Roots,"Loss of libido,improves sperm strength"
211,Dicoma sessiliflora,Compositae,Doda,Dicoma,Whole plant,"Antipyretic,aphrodisiac,cough,stomachache"
212,Adenia venenata,Passifloraceae,"Dodo, Yaga, Arokeke,oti,",Akerbia,"Leaves, roots, stem-bark, fruits","Cough, bronchitis,urinary tract infections, fever,stem-pulp is an aphrodisiac, syphilis, gonorrhoea,anagelsic,diuretic,hypertension,fish poison"
213,Murraya Koenigii,Rultaceae,Ebafo,Curry leaf tree,"Leaves, Bark, Root","Dysentery, Fever, diarrhoea, herpes pains, stimulant."
214,Mallotus cordifolia,Euphorbiaceae,Ebewosa,,Leaves,Malaria.
215,Crassocephalum rubens,Compositae,Ebire,"Ebire,ebolo","Leaves,roots","Earache,carious tooth,breast cancer,stomachache"
216,Crateva adansonii  ,Capparaceae,"Eegun-orun,taniya,ajanaka,Ungududu,Amakarode",Garlic pear,"Leaves, bark","Tonic, stomachache, antipyretic,rubefacient,urinary disorders"
217,Allophylus africanus  ,Sapindaceae,"Eekan-ehoro,alarto, odu-oko,",African false currant,"Leaves, roots, bark","Diarrhoea, pile, toothache,anthelmintics,venereal diseases,cough"
218,Xylopica aethiopica  ,Annonaceae,"Eeru, erunje,iru,Uda,Kimba",Ethiopian pepper,"Fruits, bark, leaves,seeds","Stomachache, cough, neuralgia,mental disorders, amenorrhoea, bronchitis, antimicrobial activity,carminative,purgative"
219,Tragia benthani,Euphorbiaceae,"Eesin,Esisin-wara",Tragia,"Leaves,sap","Abortifacient,skin diseases,analgesic"
220,Sida pilosa  ,Malvaceae,Eesinle,Sida,Leaves,"Diarrhoea, cuts, wounds."
221,Lippia multiflora,Verbenaceae,"Efinrin-gogoro,efinrin-foromaba",Sweetleaf,Whole plant,"Hypertension,cough,antipyretic,jaundice,sleeping sickness"
222,Ocimum gratissimum ,Labiatae,"Efinrin-nla,efinrin-aja,oromoba,Daidoya, Nchanwu","Tea bush,balsam,basil","Leaves, whole plant","Cough, diarrhea, convulsions, fever, cold, bronchitis,colic ,insect repellant,antimicrobials,anthelmintics,hypertension,hypertension,diabetes,piles, Antibacteria."
223,Hoslundia  opposita,Labiatae,"Efinrin-oso,anami-ole,suiiti-agbe",Hoslundia,"Whole plant,leaves","Herpes,conjunctivitis,epilepsy,skin diseases,diabetes,jaundice,abdominal pain,antipyretic,haemostatic,antimicrobial, Malaria."
224,Ocimum basilicum ,Labiatae,"Efinrin-wewe,daidoya,Nchanwu",Sweet and Hairy basil,Whole plant,"Gonorrhoea, catarrhal conditions, cough, constipation, dysentery, ringworm,carminative,stimulant,hypertension,anthelmintics,antipyretic,blood tonic."
225,Crassocephalum crepidioides,Compositae,Efo ebolo,"Velvet plant,ebolo,red-flower ragleaf","Whole plant, roots, leaves."," Indigestion, colic, flatulence, headache, breast-cancer."
226,Solanum macrocarpon,Solanaceae,"Efo igbo,igbagba",Garden egg,Leaves,Stomachic
227,Solanum nigrum,Solanaceae,"Efo odu ,Gautan kadii","Black-nightshade,wonder berry",Whole plant,"Convulsion, malaria, gonorrhoea, inflammatory swellings, skin diseases, ringworms, boils, heart diseases,tonic, suppuration"
228,Senna sieberiana,Leguminosae (Caesalpiniaceae),"Efo, ifo, Aridan-tooro,Gaa fa'da","Senna,West African laburnum","Leaves,pods, roots","Fever,anthelmintics,leprosy,diuretic, elephantiasis, piles, dysentery,antifungal,constipation,venereal diseases."
229,Evolvulus alsinoides,Convolvulaceae,"Efunle,Karfi mallam",Slender dwarf Morning glory,Whole plant,"Diarrhoea,antipyretic,asthma,chronic bronchitis"
230,Nauclea latifolia ,Rubiaceae,"Egbesi, Gberesi,Tafashiya rkura -ukora,Igiyaa,Nwaohuakonshi","Nauclea,African peach","Inner bark,stem sap,roots,fruits,root-bark","Cough,febrile conditions,thrush,jaundice,piles,emetic,menstrual disorders,stomach disorders,measles,sore"
231,Manniophytum fuluum,Euphorbiaceae,"Ege, Ebumen",,"Root, shoots","Bronchitis, cough, gonorrhoea, stomacharche."
232,Euphorbia heterophylla,Euphorbiaceae,Egele,,"Leaves, root","Skin diseases, febrifuges, purgative."
233,Citrullus colocynthis,Cucurbitaceae,Egusi bara,"Bitter gourd,colocynth,vine of sodom,bitter apple.","Seeds,whole plant,roots,fruit pulp.","Antimicrobials,purgative,anthelmintics,head lice,bladder stone,contraceptive."
234,Telfaria occidentalis  ,Cucurbitaceae,"Egusi iroko, Aworoko,uwgu,agboroko,Ula","Fluted pumpkin,oyster nut tree,oroko",Leaves,"Convulsion, blood tonic,gastro-intestinal disorders."
235,Citrullus lanatus,Cucurbitaceae,Egusi-baara,"Water melon,cow melon","Seeds, leaves,fruits,pulp","Womb expeller, diuretic, cystitis,  malaria, leucorrhoea, gonorrhoea,hypertension,whitlow."
236,Monodora tenuifolia,Anacardiaceae,Ehina-wo sinin,,"ruits, leaves, root","Antihaemorrhage, dysentery, Parasitic skin diseases, toothache."
237,Caladium bicolor,Araceae,Eje-Jesu,"Christ plant,heart of Jesus","Leaves,rhizome.","Topical application for boils,wound,ulcer,purgative,convulsion"
238,Momordica charantia ,Cucurbitaceae,"Ejinrinwere,Alo-ose, Kakayi","African Cucumber, bitter gourd,balsam pear","Whole plant, seeds, fruit root","Diabetes, piles, convulsions, jaundice, sore,nervous disorders,diabetic recipe,emetic,night blindness,aphrodisiac,dysmenorrhoea,anthelmintic,antimicrobials"
239,Momordica foetida ,Cucurbitaceae,"Ejirin - lila,Hakayi,Alu-osi",Large-leaved African bitter cucumber,"Leaves, fruit","Diabetes, stomach-ache,laxative,anthelmintic"
240,Momordica angustisepala,Cucurbitaceae,Ejirin-nla,,Stem,Antimicrobial.
241,Smilax kraussiana,Smilacaceae,"Ekanamagbo, Ewo,Kuranga woofii",West African sarsaparilia,"Stem, twigs, roots","Ease labour, fever, syphilis, gonorrhoea, skin diseases,ophthalmia,diuretic, malaria."
242,Capparis thonningii,Cappararaceae,"Ekan-awodi, ewon ekiri","Caper  bush,kanthar",Root,"Fever, headache, mental disorder,aphrodisiac,cough."
243,Argemone mexicana,Papaveraceae,"Ekan-Ekun, Egun-arugbo,kwarkoro","Mexican poppy,prickly poppy","Whole plant, latex, roots, seeds","Jaundice, gonorrhoea, skin diseases,diuretics,blennorhoea,tapeworms,abscesses"
244,Azadirachta indica,Meliaceae,"Eke-oyibo,  Dongo-yaro",Neem tree,"Leaves, stem bark, seeds","Malaria, jaundice,syphilis,anthelmintics, skin disease,eczema,ringworm,emetic,laxative,sore throat"
245,Melia azedarach ,Meliaceae,"Eke-oyinbo, Aforo-oyinbo,Kumar nasaaara","Persian liliac,pride of India,chinaberry","Bark, kernels, leaves","Anti-syphilitic, boils, skin diseases, antihelmintic"
246,Hypoestes verticillaris,Acanthaceae,"Ekere, Akwukwoijiji",,Whole plant leaves,"Sore, fever, antiseptic, chest pains."
247,Hypoestes verticillaris,Acanthaceae,"Ekere, Akwukwoijiji",,Whole plant leaves,"Sore, fever, antiseptic, chest pains."
248,Lophira alata,Ochnaceae,"Eki, Pahan,uda,Kujeme,Akufo","Ironwood ,ekki,meni oil tree,nambanchi","Root, barks, leaves, seeds","Fever, coughs, jaundice, gastrointestinal disorders."
249,Caesalpinia pulcherima,Leguminosae,Eko-omode,Pride of Barbados,"Bark,leaves,seeds","Purgative,emollient,abortifacient,emmenagogue."
250,Cleome gynandra  ,Capparaceae,"Ekuye, ekuya,ipiya","Bastard Mustard,cat's whiskers","Leaves, seeds","Rheumatism, headache,disinfectant,earache,neuralgia,anthelmintic,ease labour."
251,Cucurbita maxima,Cucurbitaceae,"Elegede,apala,Kabeewaa",Melon-pumpkin,"Seeds,fruits.","Tapeworm, diuretic, taenicide, otitis,utensils."
252,Cucurbita pepo  ,Cucurbitaceae,"Elegede,Ogbogolo,Kabewa,gboro.","Pumpkin,gourd,vegetable-marrow","Seeds, leaves,fruits,pulp","Urinary complaints, cathartic,taenicide,diuretic,demulcent,anthelmintics,boils,burns,anti-tumour."
253,Dacryodes edulis  ,Burseraceae,"Elemi,ube","Native pear,African plum,bush butter tree","Bark, leaves,fruits.","Jiggars,skin diseases, acute malaria,anthelmintics,astringent,wounds,clearing pregnancy stretch marks,elephantiasis."
254,Harungana madagascariensis,Hypericaceae,"Elepo, adenden, Asunje,Uturu,Otori, Alillibar raafii",Dragon's blood tree,"Stem-bark, root bark, leaves,sap","Dysentery, piles, trypanosomiasis, fever, cold, jaundice, scabies, haemostatic,emetic,black tongue,urinary fistula,ringworm,jaundice"
255,Indigofera arrecta  ,Leguminosae,Elu aja,indigo,"Leaves, twigs.","Diarrhoea, dysentery."
256,Lonchocarpus cyanescens,Leguminosae,"Elu,Talaki,Nji,Anunu",West. African indigo,"Root, bark, leaves","Arthritic conditions, sore, mental disorders,boils,anthelmintics,antimicrobial."
257,Pupalia lappacea  ,Amaranthaceae,"Ema-agbo,Marin kuusun",Ram's bur,"Leaves,roots,fruits.","Coughs,skin diseases,syphilis,diarrhoea"
258,Mimusops kummel,Sapotaceae,"Emido,Uku",Bullet wood,"Stem bark, seeds","Antipyretic,astringent, mouth wash,stomachic"
259,Butyrospermum paradoxum  ,Sapotaceae,"Emi-emi, emi,Osisi,Ka'danya","Shea butter tree,Vitellaria paradoxa,Kadanya.",Seeds,"Nasal decongestion and cattarhal condition,anthelmintic,hypertension,diuretic."
260,Pseudocedrela kotschyi  ,Meliaceae,"Emi-gbegi,Tuna",Pseudocedrela,Root bark,"Dysentery, leprosy, general debility.antipyretic,aphrodisiac,haemorrhoids"
261,Euphorbia hirta  ,Euphorbiaceae,"Emi-ile, iroko-iju,egele,oro-elewe,ahihia ugwa,Noonon kurciyaa,Odane inenemii",Asthma weed,"Whole plant,exudate","Cough, asthma, catarrh, hay-fever,pulmonary ailment,hay fever,amoebic dysentery,conjuctivitis,anthelmintic,aphrodisiac,increase lactation and shape of breast,hypertension,antispasmodic"
262,Dalbergiella welwitschii,Leguminosae,"Emosho-elemosoo,emeso-igangan, afoso,",West African black wood,"Stem, twigs, roots, leaves","Bronchial ailments,purgative,anthelmintic,menstrual disorder."
263,Indigofera macrophylla  ,Leguminosae,"Enise-Ana,Aniyaa makoomiyaa.",Indian-indigo,Leaves,"Whooping cough, bronchitis, piles, ulcers, enlargement of spleen and liver,skin diseases."
264,Arachis hypogea,Leguminosae,Epa,"Ground nut,pea nut",Nuts,"Oil as solvent ,antimicrobials,insomnia"
265,Pachira glabra,Bombacaceae,Epa-boro,"Guinea peanut,lucky tree","Bark,leaves,seeds","Stomach disorders,headache, blood tonic"
266,Senna tora  ,Leguminosae (Caesalpiniaceae),"Epa-ikun,epaja abo,jelenubenu",Foetid Senna,Leaves,"Abscess,purgative,scabies,ringworm,eczema"
267,Desmodium adscendens  ,Leguminosae,"Epa-ile,aberodefe,Nbasioku",Desmodium,"Leaves, whole plant","Constipation, convulsions, gonorrhoea, syphilis, bronchial asthma,spermcount enhancer."
268,Curculigo pilosa,Hypoxidaceae,"Epakun,Dooyar kureegee",African crocus,Roots,"Leaukaemia,gonorrhoea,cough,purgative,astringent,aphrodisiac,demulcent"
269,Ficus exasperata,Moraceae,"Epin, Ewe-ipin",Sand paper tree,"Leaves, bark, root, seeds","Stomach disorder, scabies, gonorrhoea, urinary ailments, jaundice,abortifacient,antipyretic."
270,Picralima nitida  ,Apocynaceae,"Erin, eso abere,Osu igwe",Picralima,"Root, seeds,bark","Fever, dysmenorrhoea, hypertension, herpes, diabetes,anthelmintics, malaria."
271,Ricinodendron heudelotii ,Euphorbiaceae,"Erinmado, Omodon,Okwe,Wamankurmi","African wood oil-nut tree,erinmado","Leaves, stem bark, root, seeds","Elephantiasis, appetizer,emollient,purgative,female infertility,antipyretic."
272,Vernonia colorata,Compositae,Eriro-Ijebu,Bitter tree,"Roots,leaves","Antipyretic,anthelmintics,astringent,skin diseases,gonorrhoea,anaemia,poison antidote"
273,Croton lobatus,Euphorbiaceae,"Eru,Namijin-zaakii bansaa",Cascarilla,"Root, bark, leaves","Guinea worm, convulsions, skin diseases.rheumatic pain, urinary disorder,purgative"
274,Uvaria afzelii  ,Annonaceae,"Eru-iju, Gbogbonse,anikan-wogba arun,Mmimiohia",Cluster pear,"Bark,leaves.","Infections of liver, kidney, bladder, fever, cough,skin diseases,purgative."
275,Uvaria chamae  ,Annonaceae,"Eruju,Mmimiohia",Cluster pear,"Root,leaves","Jaundice, yellow fever,febrifuge,purgative,sores"
276,Erythrophleum suaveolens,Leguminosae,"Erun obo, olu-obo,Ajeku,Obo,Gwaska,inyi,akpa.","Sasswood,Ordeal tree,Sassy bark.","Stem bark, leaves,roots.","Chicken pox, gangrenous sores, snake bite,emetic.filarial worm swelling,skin diseases,wound,hypertension,local anaesthetic,sneezing inducer."
277,Bryophyllum pinnatum,Crassulaceae,"Eru-odundun,abomoda","Resurrection plant,life plant","Leaves,roots,,leaf sap","Cough,diarrhoea,dysentery,wounds,fever,sedatives,diuretic,abscesses,antifungal,epilepsy, antimicrobial, anticancer."
278,Eleusine indica,Poaceae,"Ese-kannakanna,Ciyaawar tuuji,Ichite","Bermuda grass,wiregrass,fowl foot",Leaves,"Coughing with bloody sputum,antipyretic,anthelmintics,venereal diseases."
279,Portulaca oleracea  ,Portulacaceae,"Esinsan-Omode,senolapa, papakusen,Fasa'kafa,Agbara ukwu","Purslane,pigweed",Whole plant,"Intestinal worms, loa loa, fever, skin diseases,disorders of bladder,kidney,lungs,abscess,antispasmodic,astringent,diuretic."
280,Urginea altissima ,Liliaceae,"Esinsin-uroro,Albasar gizo,Edeo rodo","Tall squill,spider's onion,hyena's onion",Bulb,"Influenza, asthma, bronchitis, warts,rheumaticism,abortifacient,emmenagogue"
281,Elytraria marginata,Acanthaceae,Eso,,Whole plant,"Gonorrhoea, impotence, stomache, cough, infertility."
282,Elytraria marginata,Acanthaceae,Eso,,Whole plant,"Gonorrhoea, male-impotence, stomache, cough, infertility."
283,Bombax buonopozense,Bombaceae,"Eso, Olokododo,ponpola,Gurjiya,akpe,Ape otokoro","Akata,red silk cotton tree","Bark,leaves,fruits,flowers.","Stomachache, blood tonic,emmenagogue,emollient"
284,Lagenaria breviflorus,Cucurbitaceae,"Eso-ito, eso-itagiri,tagiri",Pseudocolocynth,"Root, fruit","Purgative, anthelmintics, cathartic,lumbago,diabetes mellitus,smallpox,chickenpox, abortifaecient."
285,Sida acuta  ,Malvaceae,"Esoketu, iseketu,Udo,Nsiinyinya",Hornbean-leaf sida,"Leaves, root","Malaria, intestinal worm, ulcer, urinary debility,nervous disease,astringent,antipyretic,boils"
286,Pennisetum purpureum,Poaceae,"Esu-funfun,eesu,esusun-funfun,Achara,Dawarkada",Elephant grass,Whole plant,"Gastro-intestinal disorders,diuretic,mumps"
287,Agelaea obliqua  ,Connaraceae,"Esura, Okun",Horse tamarind,Leaves,Childbirth (Relaxation of Muscles)
288,Dioscorea dumetorum,Dioscoreaceae,"Esuru,gudugudu,Gursami","Wild yellow yam,African bitter yam,three-leaved yam.","Tubers, leaves","Colic, abdominal, vomiting, analgesic,skin disorders,psychic trouble,malaria,ease labour,anti-bilharzia."
289,Aloe barteri,Liliaceae,"Eti erin, ida-egun,ida-orisa,moda.",Aloe,Leaves,"Ringworm,anthelmintics,aphrodisiac,amenorrhoea,cough,skin infections,astringent,antitumour,pile,fruits for preventing snake bite,"
290,Boerhaavia diffusa,Nyctaginaceae,"Etiponla, Olowojeja,Baabaa juji,Akandom,Azeigwa",Hogweed,Whole herb,"Skin diseases, small pox, jaundice, gonorrhoea,diuretic,asthma,cough,antipyretis, (test for pregnancy, through the itching of palm),scabies,yaws,jaundice"
291,Glycine max,Leguminosae,Ewa,Soya bean,Seeds,Laxative
292,Centrosema pubescens,Leguminosae,Ewa-ahun,Fodder pea,Leaves,Skin diseases
293,Piper umbellatum ,Piperaceae,"Ewe efon, iwere",Wild pepper,"leaves, root, fruits","Rheumatism, inflammatory tumours, carmative,diuretic,emmenagogue,pile,urinary disorders"
294,Cissampelos owariensis,Menispermaceae,"Ewe jokoje,Damargaji","Lungwort,velvet leaf","Roots,whole plant","Lung diseases,emmenagogue,antipyretic,diuretic,skin diseases,blood tonic"
295,Nicotiana tabacum  ,Solanaceae,"Ewe taba,Otaba,taba",Tobacco,Leaves,"Ringworm, cold, convulsions, ulcers, nausea,anthelmintic."
296,Blepharis maderaspatensis,Acanthaceae,"Ewe-asaju, ewe-isaju",,Whole plant,Snake-bite antidote
297,Corchorus olitorus  ,Tiliaceae,"Ewedu,Laaloo,Ahihiara",Jute plant,"Leaves, seeds, root","Fever, worms, diarrhoea, abscesses,demulcent,antiperiodic,anthelmintic,astringent,asthma"
298,Thaumatococcus daniellii  ,Marantaceae,Ewe-eeran,Miracle berry,Fruits,"Diabetes,emetic"
299,Desmodium gangeticum,Leguminosae,Ewe-emo,,"Leaf, root","Astringent, urinary disorder, broachi infection, fever, chest infection."
300,Waltheria indica  ,Sterculiaceae,"Ewe-epo,Hankufa",Sleeping morning,"Whole plant,roots","Cough, fever, external haemorrhage, dysentery,toothache,eye-drops, malaria."
301,Coccinia grandis,Cucurbitaceae,"Ewe-ero,Gurjin daaji","ivy gourd, scarlet gourd.","Leaves, Fruit","Depression, venereal diseases, skin infection, antibacterial."
302,Moringa oleifera,Moringaceae,"Ewe-ile, Ewe-igbale,zogale,Okweoyeibe,Bagaaruwar makka","Horse radish tree, Moringa tree, “Never die” ,drumstick tree","Leaves, roots, stem bark, fruit","Inflammatory diseases, asthma,antipyretic, cough, earache, liver and pancreas diseases, venereal diseases,emetic,anthelmintic,hysteria,diarrhoea,diuretic,catarrhal diseases."
303,Chenopodium ambrosioides,Chenopodiaceae,"Ewe-imi,asin,arunpale",Wormwood,"Whole plant, leaves."," Anthelmintics,emollient,rheumatism, tumour."
304,Mucuna sloanei  ,Leguminosae,"Ewe-ina,werepe, yerepe esinsin,Kakara,osese",Stinging Bean,"Seeds,roots","Haemorrhoids, diuretics,micturition problems in children,skin diseases."
305,Coccinia barteri,Cucurbitaceae,Ewe-oju,Fruited gourd,Whole plant,"Venereal diseases,skin infections, earache"
306,Aerva lanata  ,Amaranthaceae,"Eweowo, aje, Efun-ile,Alhaji,Furfurata,fatumi","Bhadram,cherula",Whole plant,"Ulcers, wounds, snake bite, diuretic, purgative, anthelmintic,sore throat,kidney and bladder stones"
307,Lantana camara  ,Verbenaceae,"Ewon - Agogo,Kimbar","Bush lantana, shrub verbena,lantana.",Leaves,"Fever,antiseptic,antispasmodic,antipyretic"
308,Mimosa pigra,Mimosaceae,"Ewon agogo,Gumbi",Catclaw Mimosa,"Leaves, seeds",Febrile convulsion
309,Vernonia amygdalina,Compositae,"Ewuro,Olubu,Shiwaka,Onugbu",Bitter leaf,"Leaves, root, stem","Stomachache, itching, ringworms,antimicrobials,nervous diseases, gingivitis, toothache, haemostatic, diabetes, pneumonia, enema, malaria."
310,Anonidium Manni,Annonaceae,Ewuro-Igbo,,Bark,"Diarrhoea, cough, sores, fever, rheumatism"
