,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
38,Musanga cecropioides,Moraceae,"Aga, Agbawo,Oro","Corkwood,umbrella tree","Roots, exudate, leaves,bark","Tapeworms, dysentery, fevers,anthelmintic,cough"
39,Zea mays,Poaceae,"Agbado,Oka,Dan masaraa",Maize,"Silk styles, starch","Gall bladder stone, urinary troubles, cough,demulcent,diuretic,carminative"
40,Morus mesozygia,Moraceae,"Agbagba,uraye, ewe-aye,aye, aremo","Morus,aiye",Leaves,"Mystic properties,for bathing newborns,sedative."
41,Tithonia diversifolia,Asteraceae,"Agbale,jogbo","Tree marigold,tithonia,Mexican sunflower.","Whole plant,leaves,root","Skin diseases,typhoid fever,diabetes,amoebiasis,yellow fever, Malaria."
42,Alafia barteri,Apocynaceae,Agbari etu,"Alafia chewing stick, guinea-fowl's crest","Roots,leaves.","Sickle cell anaemia,rheumatic pains,toothache,eye infections"
43,Dioclea reflexa,Leguminosae,"Agbarin, epe, arin","Dioclea,bull's eye",Seed,"Asthma,head lice,dandruff,stimulant."
44,Symphonia globulifera ,Guttiferae,"Agben-gbedi, Ogolo",Hog gum tree,"Exudate, bark","Craw-craw, tonic."
45,Leonotis nepetifolia,Labiatae,"Agberulori,iku ekun","Lion's ears,lion's tail","Leaves,roots","Wound,skin diseases,emmenagogue,purgative,anthelmintic,tonic"
46,Hedranthera barteri,Apocynaceae,Agbo omode,Hedranthera,"Leaves,fruit","Convulsion,anthelmintics,venereal diseases,cough,anti-tumour"
47,Cocos nucifera  ,Palmae,"Agbon,Kwakwar,Ake babe",Coconut Palm,"Bark, root, nuts","Bronchitis, liver ailments,migraine,emollient, scabies, dysentery,antiseptic,toothache,uterine diseases,hair loss,liver ailment,diuretic,anthelmintic,laxative"
48,Borassus aethiopum  ,Palmae,"Agbon-olodu, agbon-onidu,uburu,ubiri.",African fan Palm,"Roots,juice of nut","Respiratory disorders,asthma,headache"
49,Piptadeniastrum africanum,Leguminosae,"Agbonyin,Ufi,Kiriya kurmi",Dahoma,"Stem twigs,leaves","Purgative,headache,toothache,enema,cardiac tonic,irregular menstruation,coated tongue."
50,Laggera alata,Compositae,"Agemo-kogun, eru-taba",Laggera,"Leaves, roots, sap","Fever, rheumatic pains, pneumonia, emmenagogue, tapeworms,convulsion."
51,Isolana campanulata,Anacardiaceae,Aghakeze,,"Roots, stem-bark","Bronchial infections, skin diseases, cough, hematuria, fever, bilharzia, tonic, rheumatism"
52,Isolona campanulata,Annonaceae,Aghako-eze,,Stem bark,"Fever, cough, bitharzu"
